Symbol|Issue_Name|Primary_Listing_Mkt
AEMD|Aethlon Medical, Inc. Common Stock|NASDAQ
AEMMF|A2A SpA Ordinary Shares|U
AEMMY|A2A SpA Unsponsored ADR (Italy)|U
AENG|Advanced Engine Technologies, Inc. Common Stock|U
AEO|American Eagle Outfitters|NYSE
AEOIF|Aeon Thana Sinsap Thailand Public Co Ltd Units Non-Vtg Dep Rcpt (Thailand)|U
AEOJF|Aeon Financial Services Co Ltd (Jpn) Ordinary Shares|U
AEOMF|Aeon Metals Ltd Ordinary Shares|U
AEOXF|Aeroports de Paris Adp Ordinary Shares (France)|U
AEP|American Electric Power Company, Inc.|NYSE
AEP PRB|American Electric Power Company, Inc. Corporate Unit|NYSE
AEPLF|Anglo Eastern Plantations PLC Ordinary Shares|U
AEPT|American Energy Partners, Inc. Common Stock|U
AER|Aercap Holdings N.V.|NYSE
AERG|Applied Energetics, Inc Common Stock|U
AERGP|Applied Energetics, Inc. Series A Convertible Preferred Stock|U
AERI|Aerie Pharmaceuticals, Inc. Common Stock|NASDAQ
AERN|AER Energy Resources, Inc. Common Stock|U
AERO|AeroGrow International, Inc. Common Stock|U
AERS|Aerius Common Stock|U
AERZY|PJSC Aeroflot Russian Airlines American Depositary Receipts - Sponsored|U
AES|AES Corporation|NYSE
AESE|Allied Esports Entertainment, Inc. Common Stock|NASDAQ
AESEW|Allied Esports Entertainment, Inc. Warrant Exp 08/09/2024|U
AESO|Atlantic Energy Solutions Inc Common Stock|U
AESTY|AES Tiete Energia SA American Depositary Shares - Sponsored (Brazil)|U
AETUF|Arc Resources Ltd. Ordinary Shares (Canada)|U
AEVEF|Arena Events Group PLC Ordinary Shares (United Kingdom)|U
AEVIF|Aevis Victoria SA ACT NOM (Switzerland)|U
AEWRF|AEW UK REIT PLC REIT ORD GBP0.01 (United Kingdom)|U
AEXAF|Atos Origin SA Ordinary Shares (France)|U
AEXAY|Atos Origin SA Unsponsored ADR (France)|U
AEXE|Aim Exploration Inc Common Stock|U
AEXFF|Aminex Plc Ord Ordinary Shares|U
AEY|ADDvantage Technologies Group, Inc. Common Stock|NASDAQ
AEYE|AudioEye, Inc. Common Stock|NASDAQ
AEYYF|Alpha Energy Holdings Ltd Ordinary Shares (Singapore)|U
AEZS|Aeterna Zentaris Inc. Common Stock|NASDAQ
AFAP|AFA Protective Systems Inc. Common Stock|U
AFB|Alliance National Municipal Income Fund, Inc.|NYSE
AFBA|Allied First Bancorp, Inc. (Maryland) Common Stock|U
AFBG|American Fiber Green Products, Inc. Common Stock|U
AFBOF|African Rainbow Minerals Limited Ordinary Shares (South Africa)|U
AFC|Allied Capital Corporation|NYSE
AFCJF|AFC Ajax NV Amsterdam Ordinary Shares (Netherlands)|U
AFCL|Amcor Financial Corp Common Stock|U
AFCSF|Vast Res Plc Ordinary Shares (United Kingdom)|U
AFDVF|AFI Development PLC SHS SERIES B (Cyprus)|U
